hospital_id,hospital_name,email,phone_number,address,number_of_doctors,number_of_beds,hospital_type,establishment_date,notes,average_rating,price_per_day,total_capacity,number_of_nurses,number_of_departments,is_emergency_available
234,مؤسسة الحلول الرقمية,r9b0s4pf@gmail.com,+966 561082585,شارع جامعة الدول العربية، مكة المكرمة، 54614,621,191,حكومي,2018-10-23,بيانات تسليم معايير حساب موافقة. فريق معايير سائق معايير موافقة حالة عمليات تأكيد مراجعة. فاتورة نشط تأكيد سائق خطوة مراجعة نجاح عميل طلب موافقة طلب عمليات.,3.58,461,153,1375,15,لا
235,مؤسسة الحلول الرقمية,7jvyt9nw@outlook.com,+966 554854812,شارع التخصصي، الإسكندرية، 28533,487,4773,خاص,2025-11-19,سائق مراجعة فني مالي بيانات. خطوة بيانات معايير مستندات طلب حالة ملف طلب مستندات. مالي حساب مالي طلب توصيل تحديث مالي.,2.91,2355,3818,1234,33,نعم
236,شركة الرياض للتجارة,hi4ocgn5@outlook.com,+966 572181412,شارع الملك عبد العزيز، دبي، 47860,388,508,جامعي,2019-03-10,تقرير طلب موافقة عميل حساب موقع نظام مستندات. فريق معالجة ملف حساب متابعة مراجعة. مالي مراجعة نشط مستندات سائق سائق فريق حالة نظام.,2.71,786,406,377,44,لا
237,شركة الرياض للتجارة,nd420zzj@example.com,+966 565760011,طريق الملك فهد، دبي، 43497,92,2289,حكومي,2016-05-19,نظام تأكيد شحن حالة شحن تقرير تحديث مستندات تأكيد ملف. نشط مراجعة موافقة تسليم نشط بيانات. ملف فريق حالة شحن تأكيد فريق بيانات خطوة نجاح. شحن موقع موقع توصيل نشط دعم مراجعة.,1.23,810,1831,1191,36,لا
238,مؤسسة الحلول الرقمية,9jo5eahj@datafactory.io,+966 595910987,شارع جامعة الدول العربية، الدمام، 26092,782,3797,خاص,2019-11-10,نجاح مستندات دعم موقع فريق تقرير مراجعة. خطوة متابعة عميل ملف طلب مالي. شحن توصيل طلب مستندات حساب شحن سائق سائق معايير. موافقة تقرير فريق طلب موقع.,4.14,1328,3038,1237,7,نعم
239,شركة الرياض للتجارة,kyx83quq@yahoo.com,+966 583715050,شارع العليا، الرياض، 79182,485,4113,جامعي,2022-11-21,شحن عميل متابعة معالجة نظام فريق نجاح عميل طلب تأكيد فاتورة معالجة. طلب عميل متابعة فني نظام مراجعة دعم فني حالة نجاح مستندات مراجعة. موقع سائق تقرير فني عمليات عمليات ملف بيانات عميل تأكيد موقع توصيل,3.1,3773,3290,1793,10,نعم
240,شركة الرياض للتجارة,s8w7ah3v@solix-agent.ai,+966 534909218,شارع التخصصي، دبي، 73606,19,3330,جامعي,2021-10-13,نجاح مالي نشط عميل خطوة توصيل تأكيد موقع مستندات نجاح فريق. تحديث تسليم مراجعة ملف فني شحن خطوة مالي خطوة. مستندات ملف تأكيد بيانات تأكيد نجاح بيانات خطوة تسليم حساب. حساب نظام عمليات موافقة تأكيد فري,1.0,4269,2664,1996,36,نعم
241,مؤسسة الحلول الرقمية,brlonm17@solix-agent.ai,+966 547790888,شارع العليا، جدة، 93787,418,375,حكومي,2026-08-15,حساب متابعة توصيل مراجعة دعم تأكيد معايير. تأكيد نجاح معايير تقرير موافقة معالجة نظام طلب تقرير ملف حالة. معايير نظام بيانات عميل مراجعة توصيل موافقة موافقة.,2.68,1726,300,1700,25,لا
242,شركة الرياض للتجارة,rxzoxtzb@datafactory.io,+966 597435607,شارع التخصصي، الرياض، 84720,788,3753,حكومي,2016-04-07,تقرير فريق موافقة تحديث نشط توصيل معايير حساب توصيل فريق شحن. عميل موقع تحديث شحن فني حساب فريق طلب تأكيد نظام. مستندات سائق موافقة مستندات عمليات.,4.18,1364,3002,1678,35,نعم
243,مؤسسة الحلول الرقمية,0azrkxqf@outlook.com,+966 539711286,شارع العليا، جدة، 27185,475,3331,جامعي,2026-08-10,تسليم سائق عميل تقرير عمليات حالة معايير موافقة فاتورة. معايير عميل تحديث معالجة معايير تحديث طلب نشط. فريق فني تقرير فاتورة مراجعة حساب موقع.,2.88,1222,2665,185,33,لا
244,شركة التقنية المتقدمة,79zfyvuu@gmail.com,+966 528332349,طريق الملك فهد، القاهرة، 34866,354,806,جامعي,2016-03-12,حالة نشط مراجعة فني ملف نجاح معالجة. فريق عميل تأكيد توصيل موافقة مالي تقرير نجاح تحديث تأكيد نظام.,2.54,777,645,1164,13,نعم
245,مجموعة الفوزان,t99p4mhu@datafactory.io,+966 545089285,شارع العليا، الإسكندرية، 34477,860,164,حكومي,2023-10-20,سائق تقرير مالي توصيل حساب نظام دعم تسليم حساب حالة حساب. طلب تسليم تحديث عمليات نظام تحديث موقع متابعة مراجعة.,4.26,1286,131,1572,5,لا
246,مؤسسة الحلول الرقمية,l2gd8spp@gmail.com,+966 538597153,شارع جامعة الدول العربية، القاهرة، 26096,411,2551,حكومي,2017-05-22,مستندات خطوة متابعة تحديث طلب موقع توصيل بيانات دعم نظام تقرير. تسليم مالي عميل طلب معايير سائق سائق خطوة تأكيد متابعة موقع. فاتورة معايير مستندات مالي دعم. حالة موافقة موافقة مراجعة شحن موافقة.,2.74,1025,2041,426,30,نعم
247,مؤسسة الحلول الرقمية,uvj9ezkh@outlook.com,+966 577247552,شارع التخصصي، الدمام، 11612,577,1021,خاص,2015-11-25,مستندات طلب طلب تحديث نشط نشط. تسليم نظام موافقة سائق فاتورة مستندات. عمليات فريق فريق مستندات نشط تقرير فني شحن موقع موافقة.,3.2,3868,817,1892,16,نعم
248,مؤسسة الحلول الرقمية,a5v0j9ra@datafactory.io,+966 567169245,شارع الملك عبد العزيز، الرياض، 21027,343,3658,خاص,2020-01-21,نجاح مستندات حالة ملف ملف تأكيد فريق مستندات خطوة فاتورة تأكيد نظام. سائق نجاح عمليات خطوة شحن عميل. موقع سائق بيانات شحن تحديث مراجعة مراجعة فاتورة حالة متابعة عمليات موافقة. تسليم مستندات مستندات نظ,2.3,1303,2926,1911,32,لا
249,شركة الرياض للتجارة,chiffa18@gmail.com,+966 554703118,شارع الملك عبد العزيز، مكة المكرمة، 19380,309,2860,جامعي,2025-01-02,فني تحديث شحن موافقة تسليم. خطوة فاتورة حساب معالجة تسليم تقرير نشط حساب عمليات خطوة متابعة فاتورة.,2.26,2770,2288,1335,35,لا
250,مؤسسة الحلول الرقمية,6mgnnsbt@solix-agent.ai,+966 557493129,شارع العليا، الرياض، 75365,589,4054,خاص,2015-05-04,طلب متابعة بيانات خطوة تقرير طلب ملف نجاح دعم تقرير ملف عميل. عمليات طلب بيانات فريق نظام خطوة حساب فريق تحديث توصيل حالة.,3.32,3991,3243,1728,33,لا
251,شركة التقنية المتقدمة,s2c2a89r@datafactory.io,+966 501773718,شارع العليا، الرياض، 31268,858,2475,حكومي,2024-06-21,حالة بيانات معايير موقع تحديث فاتورة تقرير ملف خطوة موافقة. مستندات طلب تحديث نجاح طلب متابعة تقرير تسليم. معايير فني موافقة نجاح تأكيد عمليات مستندات بيانات تقرير.,4.55,1249,1980,2251,5,نعم
252,شركة الرياض للتجارة,eno3pg05@outlook.com,+966 576799396,شارع العليا، مكة المكرمة، 87545,157,2648,حكومي,2021-10-18,معايير بيانات شحن موافقة تأكيد. موافقة فني معالجة شحن عمليات موافقة متابعة فني ملف حساب.,1.55,1137,2118,101,33,نعم
253,مجموعة الفوزان,pk8blpwd@datafactory.io,+966 523802699,شارع العليا، مكة المكرمة، 45070,331,1414,خاص,2018-02-16,متابعة طلب عميل تحديث بيانات حالة فاتورة متابعة موقع. متابعة تسليم بيانات توصيل مستندات تحديث متابعة تحديث شحن. فريق مراجعة تقرير فاتورة نشط متابعة مراجعة ملف توصيل طلب.,2.25,4544,1131,789,41,نعم
254,شركة التقنية المتقدمة,6ay1rxil@gmail.com,+966 578180116,شارع التخصصي، الرياض، 89071,368,742,جامعي,2024-08-07,معالجة معايير فاتورة طلب تحديث. فاتورة عميل معالجة معالجة عمليات فاتورة عميل مالي تقرير متابعة. فريق موافقة حالة مالي تسليم دعم تسليم. تأكيد سائق ملف تحديث متابعة موقع معالجة توصيل تأكيد موقع مراجعة ت,2.67,900,594,1225,8,لا
255,مجموعة الفوزان,invh25z2@example.com,+966 558672139,طريق الملك فهد، دبي، 17664,391,2455,حكومي,2024-05-03,معالجة معايير نظام تسليم موقع. موافقة نشط عمليات نشط تأكيد متابعة عميل نجاح حالة مستندات موافقة. فريق متابعة نظام مستندات خطوة تأكيد مراجعة تأكيد. ملف سائق معايير بيانات خطوة مستندات ملف نجاح تقرير تو,2.63,1251,1964,1685,24,لا
256,مؤسسة الحلول الرقمية,nj68vv8s@outlook.com,+966 514131843,شارع العليا، دبي، 42953,366,603,خاص,2016-10-26,فريق نجاح تأكيد مستندات شحن. متابعة عميل نظام مستندات فني فاتورة. فريق فاتورة فني تأكيد دعم نشط فني تقرير معايير موافقة.,2.7,3015,482,1654,11,لا
257,شركة الرياض للتجارة,7a9jigvx@example.com,+966 579925334,شارع جامعة الدول العربية، دبي، 54799,974,3961,حكومي,2025-11-02,بيانات طلب عمليات فاتورة نجاح نظام دعم معايير حالة شحن. فريق تأكيد موقع مالي نجاح معايير مراجعة.,4.9,1572,3169,742,12,نعم
258,شركة الرياض للتجارة,6c4rj7k6@example.com,+966 533474877,شارع الملك عبد العزيز، دبي، 35461,217,1960,حكومي,2021-05-05,موافقة مراجعة عميل خطوة عميل. مراجعة تسليم تأكيد فاتورة موقع ملف معايير موقع متابعة فني.,2.03,3359,1568,935,33,لا
259,شركة الرياض للتجارة,4nhe9z2b@outlook.com,+966 556947611,شارع العليا، دبي، 20274,479,1911,خاص,2019-04-02,طلب تسليم موقع بيانات مالي موقع بيانات خطوة عميل بيانات. دعم فني معالجة بيانات معايير عميل مستندات فني خطوة تسليم.,2.93,1965,1529,1845,37,لا
260,شركة التقنية المتقدمة,trski50l@outlook.com,+966 538214932,طريق الملك فهد، القاهرة، 87314,489,3123,حكومي,2023-08-13,تأكيد تأكيد فني شحن حالة فريق تأكيد ملف نشط. فني نجاح متابعة موقع مستندات تحديث معالجة ملف نشط. ملف عمليات موقع عمليات معالجة تقرير نجاح سائق خطوة طلب تقرير.,3.21,2439,2498,1875,30,نعم
261,مؤسسة الحلول الرقمية,ro0wuk1b@outlook.com,+966 508082373,شارع التخصصي، الرياض، 60448,111,1332,خاص,2018-11-18,دعم موافقة فريق متابعة سائق تقرير تسليم موافقة. شحن حالة فني فريق معايير طلب نجاح مستندات طلب معالجة حساب. تحديث طلب طلب بيانات طلب دعم تأكيد نظام نجاح موافقة.,1.58,1190,1066,1022,38,لا
262,شركة الرياض للتجارة,oifggete@yahoo.com,+966 508613069,شارع جامعة الدول العربية، الرياض، 11069,542,4289,خاص,2019-09-08,نشط فاتورة فاتورة تحديث ملف فني. موافقة فريق تقرير مالي شحن تسليم دعم شحن شحن مراجعة تحديث عميل.,3.02,2935,3431,2526,41,نعم
263,مؤسسة الحلول الرقمية,i9iah9dg@example.com,+966 553786290,شارع التخصصي، مكة المكرمة، 86501,848,2807,جامعي,2026-05-09,فريق متابعة فاتورة مراجعة تأكيد معالجة حالة. موقع فني معايير شحن فريق نظام موافقة فاتورة موافقة دعم تحديث نجاح.,4.43,2443,2246,1797,34,نعم
264,مؤسسة الحلول الرقمية,gctn3c62@datafactory.io,+966 598113900,شارع التخصصي، مكة المكرمة، 55633,522,3425,حكومي,2023-08-07,فاتورة متابعة مالي سائق متابعة. نجاح موافقة ملف تسليم بيانات توصيل مستندات حالة بيانات توصيل تقرير. فني تحديث تأكيد فني فني حساب نشط حساب. تأكيد معايير معايير دعم عميل معايير حساب.,3.07,3210,2740,1333,6,نعم
265,مؤسسة الحلول الرقمية,b8x6bly0@outlook.com,+966 592796146,شارع جامعة الدول العربية، مكة المكرمة، 28112,468,3681,حكومي,2022-03-02,توصيل تحديث نظام نظام نظام معايير. تسليم خطوة فريق فاتورة نشط طلب مستندات موافقة. بيانات نجاح نجاح توصيل تسليم تحديث نجاح معالجة طلب. حالة نظام معايير عمليات شحن نجاح عميل فاتورة تقرير نظام ملف موقع.,3.07,2460,2945,985,10,نعم
266,مجموعة الفوزان,2jn9zzr6@outlook.com,+966 558066255,شارع الملك عبد العزيز، الرياض، 43514,904,367,حكومي,2021-01-06,خطوة فني فني سائق توصيل مالي ملف تسليم. مراجعة تسليم موقع مستندات تأكيد عميل حالة تسليم تحديث شحن.,4.58,2202,294,264,31,نعم
267,مجموعة الفوزان,6l4f8g58@yahoo.com,+966 585405224,شارع الملك عبد العزيز، دبي، 41731,332,591,خاص,2018-09-27,عمليات حالة نشط حساب فني. دعم نشط مالي نجاح خطوة مراجعة حالة معالجة طلب شحن موقع. فني عميل مالي تسليم موقع طلب دعم عميل فاتورة. فريق شحن تأكيد مستندات تسليم دعم طلب حالة.,2.37,3422,473,1563,41,لا
268,شركة التقنية المتقدمة,bqx27gls@yahoo.com,+966 551629477,شارع الملك عبد العزيز، القاهرة، 32155,219,2513,جامعي,2015-02-10,نشط نجاح تأكيد مالي بيانات تأكيد تأكيد عمليات توصيل معايير. فريق فريق تقرير عميل مالي موافقة نظام حساب مالي توصيل. شحن خطوة نجاح مالي معالجة مراجعة مراجعة عميل نشط متابعة متابعة متابعة. توصيل نجاح موق,1.86,3975,2010,1771,24,نعم
269,شركة الرياض للتجارة,glct8feq@datafactory.io,+966 521697248,شارع جامعة الدول العربية، القاهرة، 10611,604,1761,جامعي,2016-11-04,تأكيد ملف معالجة مالي فاتورة معالجة موافقة تحديث. معالجة معايير فريق خطوة تأكيد نجاح شحن.,3.52,2910,1409,1614,13,نعم
270,شركة الرياض للتجارة,moqq26fx@yahoo.com,+966 594504767,شارع جامعة الدول العربية، الرياض، 36621,406,754,خاص,2017-01-09,نظام حساب موافقة مستندات حساب سائق. تحديث فريق نظام تسليم متابعة. فريق دعم عمليات عمليات معالجة.,2.69,3735,603,521,31,لا
271,شركة التقنية المتقدمة,bqsaw1q8@gmail.com,+966 598132391,شارع جامعة الدول العربية، مكة المكرمة، 19429,299,1231,حكومي,2024-02-04,عميل فاتورة فاتورة نظام بيانات نشط عميل. نظام تأكيد فاتورة تسليم عمليات نظام ملف. مستندات طلب تحديث عمليات شحن متابعة حساب. مستندات مالي توصيل دعم مالي عمليات دعم نجاح نظام سائق.,2.37,820,985,1679,37,لا
272,شركة الرياض للتجارة,0z5gyb0h@outlook.com,+966 577204975,شارع التخصصي، الدمام، 20320,145,634,خاص,2018-09-25,تأكيد مالي خطوة توصيل مراجعة تحديث نظام. مالي طلب موافقة مراجعة مراجعة توصيل مستندات خطوة فاتورة نظام مالي.,1.32,3745,507,1747,35,لا
273,مؤسسة الحلول الرقمية,szr8v3mv@solix-agent.ai,+966 571278569,طريق الملك فهد، جدة، 19804,416,2251,جامعي,2023-10-28,مالي حالة عمليات نظام تسليم حالة طلب متابعة دعم شحن عمليات مراجعة. موقع فني تحديث متابعة تقرير حساب موافقة فني فني متابعة حساب نظام. حساب تقرير ملف موقع نظام معالجة شحن فاتورة. مستندات مراجعة فاتورة د,2.84,1217,1801,1214,25,نعم
274,مؤسسة الحلول الرقمية,4h8kunc3@gmail.com,+966 544986054,شارع التخصصي، الإسكندرية، 94950,615,2491,حكومي,2019-11-03,نشط بيانات متابعة خطوة حالة نجاح مراجعة مستندات. مراجعة توصيل نشط عمليات تسليم فاتورة خطوة شحن.,3.64,793,1993,2765,14,نعم
275,مجموعة الفوزان,chjs2a4f@example.com,+966 506315128,شارع الملك عبد العزيز، القاهرة، 31694,53,3339,حكومي,2019-12-21,تقرير موافقة مالي معايير نظام مراجعة دعم. نجاح خطوة فاتورة موافقة مالي متابعة فاتورة شحن مراجعة.,1.0,727,2671,2084,8,نعم
276,شركة التقنية المتقدمة,izaklpcu@outlook.com,+966 539989412,شارع جامعة الدول العربية، الدمام، 14691,333,1439,خاص,2018-09-05,معايير مالي سائق موقع طلب. معالجة تأكيد تقرير معايير مالي.,2.47,3356,1151,960,33,لا
277,مؤسسة الحلول الرقمية,ou9zi5vm@yahoo.com,+966 514619723,طريق الملك فهد، الرياض، 88102,754,4867,حكومي,2025-03-26,دعم توصيل تسليم نظام تقرير. تحديث عميل حالة بيانات مالي. فريق شحن نظام متابعة فني دعم معالجة نشط سائق.,4.1,2479,3894,1665,28,لا
278,مجموعة الفوزان,ncydml0t@outlook.com,+966 566041987,شارع جامعة الدول العربية، مكة المكرمة، 42872,913,2122,جامعي,2020-01-20,نجاح عمليات ملف حالة سائق معالجة عميل شحن موافقة مراجعة. تحديث فاتورة نجاح مالي حالة مراجعة عميل موقع.,4.84,1563,1698,167,39,لا
279,مجموعة الفوزان,ncxxigaf@solix-agent.ai,+966 588287577,شارع جامعة الدول العربية، الإسكندرية، 11887,395,884,حكومي,2020-05-05,خطوة فني ملف طلب تحديث توصيل مستندات. فريق فريق موافقة فريق سائق تقرير تسليم عمليات نجاح تقرير خطوة. مستندات موقع سائق سائق متابعة نشط فاتورة حالة حالة. ملف مالي خطوة تحديث سائق.,2.56,1169,707,2707,17,نعم
280,مجموعة الفوزان,14hoc6b4@gmail.com,+966 594603546,شارع التخصصي، مكة المكرمة، 98677,318,2410,خاص,2017-11-23,عمليات طلب فاتورة مستندات فريق. عميل تسليم نجاح خطوة تقرير.,2.39,1094,1928,1326,6,لا
281,شركة الرياض للتجارة,jjpvwf0g@solix-agent.ai,+966 567450916,شارع التخصصي، دبي، 21568,536,2883,حكومي,2021-04-11,فاتورة فاتورة نظام نجاح خطوة عميل. طلب تحديث نجاح فني مستندات تقرير بيانات بيانات.,3.13,2474,2306,1866,41,لا
282,شركة التقنية المتقدمة,263zymdc@datafactory.io,+966 599117119,شارع التخصصي، الرياض، 66844,137,722,حكومي,2023-03-08,تسليم عميل مالي تأكيد تسليم. ملف سائق مالي تقرير عمليات تسليم نشط فاتورة. فاتورة نشط خطوة متابعة فاتورة فريق مراجعة ملف طلب.,1.55,1179,578,1183,25,لا
283,شركة التقنية المتقدمة,c2dfptqi@datafactory.io,+966 527758211,شارع الملك عبد العزيز، القاهرة، 87258,354,4977,حكومي,2018-10-11,تأكيد حساب دعم فاتورة مستندات تحديث نشط موافقة ملف. فني موقع متابعة تأكيد معايير.,2.53,1583,3982,1263,29,لا
284,مؤسسة الحلول الرقمية,eidimx5z@yahoo.com,+966 544187340,طريق الملك فهد، مكة المكرمة، 75521,412,4732,حكومي,2025-12-19,موقع مستندات نشط دعم شحن نظام دعم توصيل تحديث دعم. عمليات نظام فريق عمليات فريق موقع مستندات خطوة مالي خطوة طلب. تسليم نجاح فاتورة نشط طلب خطوة حالة بيانات عميل عمليات. توصيل شحن ملف نشط موقع عميل متا,2.8,672,3786,69,16,لا
285,شركة الرياض للتجارة,nf75wewn@example.com,+966 502083876,شارع العليا، الرياض، 95504,318,1441,خاص,2021-11-12,دعم فاتورة حالة فريق مراجعة حساب فاتورة تحديث بيانات معالجة سائق حساب. حالة فني سائق موافقة معايير. موافقة عمليات معايير سائق حالة حالة نجاح تأكيد تحديث. ملف فاتورة نظام موقع فريق معايير تأكيد مراجعة.,2.31,3973,1153,1303,7,نعم
286,مجموعة الفوزان,0upi20mg@datafactory.io,+966 546588440,شارع جامعة الدول العربية، القاهرة، 84730,62,1333,حكومي,2026-08-09,مراجعة عميل طلب تقرير عميل تسليم تقرير خطوة. فني تأكيد تقرير متابعة فاتورة نجاح طلب بيانات تسليم عمليات ملف.,1.1,1589,1066,280,44,لا
287,شركة التقنية المتقدمة,iqmviyad@solix-agent.ai,+966 596960680,شارع جامعة الدول العربية، جدة، 57923,933,2262,جامعي,2018-12-22,سائق بيانات تقرير فني عميل حالة. فني حالة مالي تحديث معالجة متابعة طلب شحن حالة فني. ملف فاتورة تحديث طلب ملف توصيل فني. بيانات موقع موقع موقع نجاح نشط موقع طلب نظام.,5.0,742,1810,550,9,نعم
288,شركة التقنية المتقدمة,uo0q0m7o@datafactory.io,+966 585750027,شارع التخصصي، جدة، 24230,889,4392,جامعي,2023-05-12,تقرير سائق توصيل تقرير تقرير سائق عميل. توصيل فاتورة دعم موقع حساب خطوة فريق تحديث معايير مراجعة.,4.61,1739,3514,372,12,نعم
289,شركة التقنية المتقدمة,48mi7vrh@example.com,+966 581911893,شارع التخصصي، دبي، 66141,472,4038,خاص,2021-03-23,فني مالي توصيل موافقة تأكيد نشط تقرير تقرير موافقة عمليات تقرير خطوة. فريق توصيل عميل نجاح تسليم.,3.1,3787,3230,1822,24,لا
290,شركة الرياض للتجارة,ylvf8wjn@outlook.com,+966 552783203,شارع جامعة الدول العربية، الرياض، 22516,809,1908,حكومي,2023-12-08,متابعة متابعة تحديث حالة عمليات. مراجعة نشط فني خطوة متابعة حساب. مستندات تقرير نظام شحن معايير شحن فني موافقة حالة مستندات.,4.06,3385,1526,1280,10,لا
291,شركة الرياض للتجارة,b994ls93@outlook.com,+966 509922858,شارع جامعة الدول العربية، مكة المكرمة، 63388,46,4071,حكومي,2020-11-01,مراجعة فريق مستندات موافقة موافقة نظام معالجة. فني عمليات ملف حساب مراجعة نجاح طلب طلب تأكيد دعم متابعة.,1.26,1511,3257,1839,30,لا
292,شركة الرياض للتجارة,0h96ek37@example.com,+966 527504567,شارع جامعة الدول العربية، الإسكندرية، 95000,603,1111,خاص,2018-12-03,تأكيد موقع فريق خطوة نجاح مراجعة معالجة فريق تأكيد حساب فريق نظام. حساب عميل بيانات فاتورة طلب مالي معالجة. معالجة نشط نجاح ملف مستندات حساب عميل متابعة تقرير تحديث نشط. موافقة خطوة مستندات مراجعة سائ,3.53,4700,889,1185,46,نعم
293,مؤسسة الحلول الرقمية,js17rhqu@outlook.com,+966 577857996,شارع التخصصي، الدمام، 86509,855,4027,خاص,2017-02-12,عمليات مالي مراجعة موقع حالة متابعة فريق تحديث مالي فني. عميل فني نجاح موافقة موقع فني عمليات.,4.33,2649,3222,2697,48,نعم
294,مؤسسة الحلول الرقمية,tnu1x1ua@outlook.com,+966 557878973,شارع التخصصي، القاهرة، 13848,546,4212,حكومي,2019-08-04,فاتورة توصيل تسليم تقرير مالي تسليم سائق فني نجاح سائق. دعم حالة موافقة بيانات مراجعة تأكيد مراجعة تقرير توصيل حالة مراجعة. خطوة شحن معايير موافقة مستندات عمليات عميل فني مستندات. نجاح تأكيد حالة مراج,3.19,1153,3370,357,10,نعم
295,مجموعة الفوزان,epxm7wgz@gmail.com,+966 541040198,طريق الملك فهد، جدة، 41207,758,4312,حكومي,2024-09-23,تقرير حالة شحن فاتورة عمليات فريق تقرير تقرير فني تقرير. نشط فني سائق بيانات نشط عمليات مستندات موافقة معالجة تقرير. مستندات بيانات خطوة تسليم فريق حساب معايير معايير.,4.17,1487,3450,1187,14,نعم
296,شركة الرياض للتجارة,uijwg8ui@yahoo.com,+966 505767213,شارع التخصصي، مكة المكرمة، 24028,218,1304,جامعي,2018-04-25,موقع خطوة موافقة فني خطوة متابعة حساب معايير متابعة متابعة تأكيد توصيل. عميل معايير نشط فني معايير عميل نظام. حساب مالي حساب مراجعة تحديث سائق. طلب نشط خطوة تأكيد موافقة ملف شحن حالة نشط.,1.84,3854,1043,1590,26,لا
297,شركة التقنية المتقدمة,6dwnvwgr@outlook.com,+966 579934582,شارع التخصصي، جدة، 65955,431,956,خاص,2018-10-08,حساب مالي ملف مراجعة دعم فاتورة معالجة فاتورة فني حالة موافقة. موافقة عميل مالي حساب متابعة بيانات تسليم. متابعة دعم تحديث توصيل طلب ملف مالي توصيل فاتورة. فاتورة نظام حالة نشط موقع بيانات.,2.8,2327,765,1567,26,لا
298,مجموعة الفوزان,qqxcyjnv@yahoo.com,+966 583045106,شارع التخصصي، مكة المكرمة، 93515,92,4792,جامعي,2021-10-05,فني حالة فريق حالة نظام خطوة تقرير طلب سائق معايير. فني ملف فاتورة حساب نجاح توصيل نجاح فاتورة.,1.13,4174,3834,1186,6,لا
299,مجموعة الفوزان,ohldni5b@solix-agent.ai,+966 578637433,طريق الملك فهد، مكة المكرمة، 48185,542,1212,خاص,2020-11-04,مستندات تقرير موقع بيانات توصيل بيانات طلب مالي تأكيد متابعة معالجة حالة. مالي موافقة ملف حالة فاتورة عميل تأكيد. معالجة مراجعة مالي معالجة تسليم معايير عمليات مالي فريق تحديث.,2.99,4398,970,1685,44,نعم
300,مؤسسة الحلول الرقمية,5ysns246@example.com,+966 507173579,طريق الملك فهد، الإسكندرية، 30547,627,3637,حكومي,2024-07-21,عميل خطوة دعم تأكيد متابعة فريق موافقة نظام. عميل نظام معالجة مستندات موافقة معايير مستندات مالي. خطوة فني حساب توصيل تأكيد طلب شحن نجاح توصيل نظام موقع فني. بيانات نظام نظام نظام معالجة مالي معالجة.,3.53,1422,2910,367,38,لا
301,مجموعة الفوزان,bfiok5fs@solix-agent.ai,+966 521392950,طريق الملك فهد، القاهرة، 22197,916,655,حكومي,2020-12-14,معايير حالة سائق نشط خطوة شحن تأكيد عمليات مراجعة متابعة عميل. حساب تحديث موافقة سائق تحديث نظام عميل توصيل عمليات بيانات. تقرير مستندات تأكيد تأكيد حساب فريق نظام فاتورة نظام. متابعة توصيل مراجعة عمل,4.62,936,524,248,30,لا
302,مجموعة الفوزان,3sez8sei@gmail.com,+966 535833484,شارع الملك عبد العزيز، دبي، 33395,742,394,حكومي,2017-04-22,شحن تقرير تحديث موقع معالجة نجاح مالي بيانات بيانات معالجة. مالي تقرير بيانات فريق مستندات شحن توصيل سائق مراجعة فريق عمليات. نشط سائق نجاح مراجعة تأكيد مستندات حساب مستندات.,3.92,1187,315,605,47,لا
303,مؤسسة الحلول الرقمية,3n7wrw0i@example.com,+966 557169139,شارع العليا، الإسكندرية، 55674,544,627,جامعي,2019-12-28,تسليم دعم نشط حساب عمليات. فريق موافقة موقع معالجة تحديث عميل. نجاح متابعة تقرير عمليات شحن بيانات فريق مالي معالجة مالي خطوة.,3.15,2015,502,1699,20,نعم
304,مجموعة الفوزان,6ni2zxfu@datafactory.io,+966 541821686,طريق الملك فهد، الرياض، 79721,695,4826,حكومي,2019-03-11,عمليات توصيل تقرير شحن نشط. موافقة تحديث تحديث نظام معالجة.,3.65,2085,3861,579,33,لا
305,مجموعة الفوزان,h6p21dl9@solix-agent.ai,+966 592612375,شارع الملك عبد العزيز، الدمام، 73621,439,57,خاص,2021-08-10,شحن عمليات حساب دعم دعم معايير معايير. بيانات حالة نشط عميل تأكيد نجاح بيانات تأكيد تسليم موقع تقرير عميل. طلب نظام مالي طلب بيانات حساب حالة حساب معالجة.,2.92,3382,46,470,10,لا
306,شركة التقنية المتقدمة,gmp3xepd@yahoo.com,+966 582828819,شارع جامعة الدول العربية، الإسكندرية، 97155,627,2589,حكومي,2015-03-02,عمليات عميل تأكيد عمليات نجاح. تأكيد معايير فني متابعة تأكيد فاتورة نجاح تسليم فني. نظام بيانات فريق فاتورة مالي نجاح معايير. مراجعة موافقة تحديث حالة ملف ملف.,3.73,2334,2071,2847,32,نعم
307,شركة الرياض للتجارة,o19l7gno@yahoo.com,+966 509478661,شارع التخصصي، الرياض، 79582,107,2317,جامعي,2022-09-28,فاتورة توصيل فني تحديث نشط فريق تقرير مالي. مراجعة خطوة تقرير موافقة نجاح متابعة عميل عمليات فني سائق.,1.42,3489,1854,1788,42,لا
308,شركة الرياض للتجارة,8yfdm1o0@yahoo.com,+966 508261730,شارع الملك عبد العزيز، القاهرة، 79987,968,4675,جامعي,2019-10-28,سائق موافقة تقرير فاتورة نجاح ملف نظام طلب. نجاح نظام خطوة مراجعة موقع مالي متابعة طلب مراجعة نشط متابعة. حالة خطوة عمليات مالي موافقة طلب نظام.,4.84,1531,3740,515,47,لا
